Evaluate with standard_BM25.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1096
map                   	all	0.2705
gm_map                	all	0.1826
Rprec                 	all	0.3144
bpref                 	all	0.2835
recip_rank            	all	0.8104
iprec_at_recall_0.00  	all	0.8594
iprec_at_recall_0.10  	all	0.5907
iprec_at_recall_0.20  	all	0.4472
iprec_at_recall_0.30  	all	0.3375
iprec_at_recall_0.40  	all	0.2714
iprec_at_recall_0.50  	all	0.2148
iprec_at_recall_0.60  	all	0.1655
iprec_at_recall_0.70  	all	0.1372
iprec_at_recall_0.80  	all	0.1116
iprec_at_recall_0.90  	all	0.0625
iprec_at_recall_1.00  	all	0.0096
P_5                   	all	0.6560
P_10                  	all	0.5840
P_15                  	all	0.5093
P_20                  	all	0.4540
P_30                  	all	0.4040
P_100                 	all	0.2268
P_200                 	all	0.1468
P_500                 	all	0.0742
P_1000                	all	0.0438

--------------------------------------
Evaluate with standard_Boolean.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	652
map                   	all	0.0803
gm_map                	all	0.0303
Rprec                 	all	0.1315
bpref                 	all	0.1065
recip_rank            	all	0.3721
iprec_at_recall_0.00  	all	0.4092
iprec_at_recall_0.10  	all	0.1720
iprec_at_recall_0.20  	all	0.1357
iprec_at_recall_0.30  	all	0.0985
iprec_at_recall_0.40  	all	0.0816
iprec_at_recall_0.50  	all	0.0689
iprec_at_recall_0.60  	all	0.0550
iprec_at_recall_0.70  	all	0.0474
iprec_at_recall_0.80  	all	0.0280
iprec_at_recall_0.90  	all	0.0020
iprec_at_recall_1.00  	all	0.0000
P_5                   	all	0.2160
P_10                  	all	0.1720
P_15                  	all	0.1627
P_20                  	all	0.1540
P_30                  	all	0.1320
P_100                 	all	0.0892
P_200                 	all	0.0682
P_500                 	all	0.0418
P_1000                	all	0.0261

--------------------------------------
Evaluate with standard_classic.txt
runid                 	all	STANDARD
num_q                 	all	25
